term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12,Topic_13,Topic_14,Topic_15
typisch,8,0.0037,0.0008,0.0006,0.0028,0.0027,0.0019,0.0001,0.0352,0.001,0.0002,0.0008,0.0015,0.0002,0.001,0.0013
versatzstück,8,0.0036,0.0008,0.0006,0.0028,0.0027,0.0019,0.0001,0.0352,0.001,0.0002,0.0008,0.0015,0.0002,0.001,0.0013
analyse,7,0.0037,0.0008,0.0006,0.0026,0.0026,0.0019,0.0299,0.0043,0.0011,0.0002,0.0235,0.0014,0.0002,0.001,0.0013
bürgerrecht,7,0.0036,0.0008,0.0006,0.0407,0.0026,0.0022,0.0005,0.0007,0.0254,0.0002,0.0012,0.0014,0.0008,0.0009,0.0013
diversität,7,0.0037,0.0008,0.0006,0.0027,0.0026,0.002,0.0474,0.0007,0.0011,0.0008,0.0008,0.0014,0.0002,0.001,0.0013
gegner,7,0.0037,0.0008,0.0243,0.0026,0.0026,0.0019,0.015,0.0007,0.001,0.0002,0.0008,0.0014,0.0002,0.001,0.0013
integration,7,0.0037,0.001,0.0007,0.0026,0.0027,0.0689,0.001,0.0007,0.001,0.0003,0.0008,0.0016,0.0002,0.001,0.0018
jude,7,0.0037,0.0008,0.0007,0.0026,0.0396,0.0019,0.0016,0.0007,0.0011,0.0002,0.0008,0.0014,0.0036,0.001,0.0013
lernziel,7,0.0036,0.0008,0.0006,0.0026,0.0027,0.0019,0.0006,0.0007,0.0011,0.0002,0.0172,0.0326,0.0002,0.001,0.0013
menschenrechtsverletzung,7,0.0036,0.0008,0.0006,0.0027,0.0026,0.0019,0.0001,0.0007,0.0012,0.0002,0.0009,0.0015,0.0002,0.0444,0.0013
modell,7,0.0037,0.0007,0.0006,0.0028,0.0026,0.0019,0.0001,0.0309,0.001,0.0002,0.0008,0.0015,0.0002,0.001,0.0013
nationalismus,7,0.0039,0.0008,0.0006,0.0026,0.0027,0.0019,0.018,0.0007,0.0011,0.0002,0.0124,0.0014,0.0002,0.001,0.0013
nennen,7,0.0037,0.0008,0.0006,0.0631,0.0027,0.0019,0.0002,0.0007,0.0021,0.0002,0.0009,0.0015,0.0039,0.001,0.0013
nsideologie,7,0.0037,0.0008,0.025,0.0026,0.0026,0.0019,0.0001,0.0007,0.0011,0.0002,0.0009,0.0015,0.0238,0.001,0.0013
ordnung,7,0.0038,0.0008,0.0006,0.0025,0.0026,0.0019,0.0001,0.0266,0.0011,0.0002,0.0061,0.0015,0.0002,0.001,0.0012
partizipation,7,0.0037,0.0008,0.0007,0.0026,0.0027,0.0021,0.0196,0.0007,0.001,0.0002,0.0008,0.0014,0.0002,0.001,0.0013
stehend,7,0.0038,0.0008,0.0006,0.0028,0.0027,0.0019,0.0001,0.0308,0.0011,0.0002,0.0009,0.0015,0.0002,0.001,0.0013
verschieden,7,0.0038,0.0107,0.001,0.0029,0.0027,0.0019,0.0169,0.0007,0.001,0.0002,0.0009,0.0014,0.0244,0.001,0.0013
veränderung,7,0.0038,0.0007,0.0006,0.0027,0.0027,0.0019,0.0001,0.0266,0.0011,0.0002,0.0008,0.0015,0.0014,0.001,0.0013
weimarer,7,0.0039,0.0007,0.0011,0.0026,0.0026,0.0018,0.0001,0.0007,0.001,0.0002,0.0009,0.0014,0.0085,0.001,0.0013
wissenschaftlich,7,0.0037,0.0008,0.0006,0.0028,0.0026,0.002,0.0001,0.0309,0.001,0.0002,0.0008,0.0015,0.0002,0.001,0.0012
arbeitsmigration,6,0.0036,0.0008,0.0006,0.0027,0.0027,0.0019,0.0004,0.0007,0.0011,0.0459,0.0009,0.0014,0.0002,0.001,0.0013
auseinandersetzung,6,0.0038,0.0008,0.0012,0.0026,0.0027,0.0021,0.0001,0.0007,0.001,0.0002,0.0009,0.0014,0.0524,0.001,0.0013
auswirkung,6,0.0036,0.0008,0.0006,0.0026,0.0026,0.0019,0.0001,0.0007,0.0011,0.044,0.0009,0.0197,0.0002,0.001,0.0013
betroffener,6,0.0038,0.0008,0.0007,0.0027,0.0027,0.0019,0.0001,0.0007,0.001,0.043,0.0171,0.0014,0.0002,0.001,0.0012
emanzipation,6,0.0038,0.0008,0.0006,0.0026,0.0028,0.0019,0.0188,0.0007,0.0011,0.0002,0.0009,0.0014,0.0002,0.001,0.0012
erziehung,6,0.0036,0.0008,0.0006,0.0026,0.0026,0.0019,0.0001,0.0007,0.001,0.0002,0.0009,0.0029,0.0002,0.0021,0.0466
funktion,6,0.0037,0.0008,0.0006,0.0026,0.0026,0.014,0.0001,0.0223,0.0011,0.0002,0.0009,0.0015,0.0002,0.001,0.0013
gegenwärtig,6,0.0037,0.0008,0.0006,0.0026,0.0026,0.014,0.0001,0.0007,0.001,0.0002,0.0063,0.0197,0.0026,0.001,0.0013
gerechtigkeit,6,0.0036,0.0008,0.0006,0.0026,0.0364,0.002,0.0305,0.0007,0.001,0.0015,0.0009,0.0014,0.0002,0.001,0.0013
grenze,6,0.0037,0.0008,0.0006,0.0025,0.0027,0.0524,0.0014,0.0007,0.0011,0.0002,0.0009,0.0014,0.0003,0.001,0.0012
grundbegriff,6,0.0038,0.0008,0.0006,0.0028,0.0026,0.0019,0.0001,0.0007,0.0011,0.0002,0.0061,0.0015,0.0003,0.032,0.0012
interesse,6,0.0037,0.0008,0.0007,0.0026,0.0026,0.0019,0.0001,0.0007,0.001,0.0002,0.0172,0.0014,0.0002,0.001,0.0254
mangelnd,6,0.0037,0.0008,0.0243,0.0026,0.0027,0.0019,0.0001,0.0007,0.001,0.0002,0.0009,0.0015,0.0002,0.001,0.0013
medium,6,0.0037,0.0008,0.0006,0.0025,0.0289,0.0019,0.0011,0.0007,0.001,0.0002,0.0131,0.0014,0.0002,0.0068,0.0013
methode,6,0.0036,0.0008,0.0007,0.0025,0.0027,0.002,0.0001,0.0007,0.0011,0.0002,0.0172,0.0016,0.0038,0.001,0.0013
musik,6,0.0037,0.0285,0.0006,0.0026,0.0027,0.0019,0.0003,0.0007,0.0011,0.0002,0.0009,0.0014,0.0002,0.001,0.0013
neuzeit,6,0.0038,0.0008,0.0006,0.0026,0.0027,0.0019,0.0001,0.0007,0.034,0.0002,0.0008,0.0106,0.0002,0.001,0.0013
populismus,6,0.0036,0.0008,0.0006,0.0026,0.0195,0.0038,0.0038,0.0007,0.0014,0.0002,0.0009,0.0014,0.0002,0.0011,0.0013
