term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12
motiv,10,0.0002,0.0422,0.0003,0.0001,0.0003,0.0001,0.0004,0.0004,0.0001,0.0006,0.0001,0.0002
naturwissenschaftlich,10,0.0002,0.0006,0.0003,0.0001,0.0003,0.0001,0.0182,0.0004,0.0043,0.0001,0.0001,0.0002
nennen,10,0.0002,0.0006,0.0003,0.0002,0.0003,0.0329,0.0004,0.0165,0.0001,0.0001,0.0001,0.0002
nutzen,10,0.0002,0.0006,0.0003,0.0001,0.0003,0.0001,0.0004,0.0004,0.0001,0.0001,0.0001,0.0164
spielen,10,0.0002,0.0006,0.0003,0.0001,0.0003,0.0001,0.03,0.0004,0.0001,0.0001,0.0001,0.0002
wert,10,0.0044,0.0006,0.0003,0.0001,0.0003,0.0001,0.0066,0.0004,0.0276,0.0001,0.0001,0.0002
faktor,9,0.0002,0.0006,0.0003,0.0001,0.0003,0.0001,0.0004,0.0201,0.0001,0.0001,0.0001,0.0058
konsequenz,9,0.0019,0.0006,0.0003,0.0001,0.0005,0.0001,0.0184,0.0004,0.0001,0.0001,0.0001,0.0034
lässt,9,0.0002,0.0006,0.0003,0.0001,0.0003,0.0001,0.0004,0.0004,0.0197,0.0001,0.0001,0.0002
vermitteln,9,0.0002,0.0006,0.0003,0.0001,0.0335,0.0001,0.0004,0.0004,0.015,0.0001,0.0001,0.0004
wissenschaft,9,0.0002,0.0006,0.0003,0.0001,0.0181,0.0001,0.0004,0.0004,0.0001,0.0001,0.0001,0.0002
äußerer,9,0.0002,0.0092,0.0003,0.0001,0.0003,0.0001,0.0004,0.0247,0.0001,0.0001,0.0001,0.0002
alters,8,0.0002,0.0006,0.0003,0.0001,0.0319,0.0001,0.0004,0.0004,0.0149,0.0001,0.0001,0.0002
erhalten,8,0.0002,0.0006,0.0003,0.0001,0.0003,0.0001,0.0004,0.0004,0.0297,0.0002,0.0001,0.0002
ermöglichen,8,0.0002,0.0006,0.0003,0.0001,0.0003,0.0001,0.0004,0.0004,0.0187,0.0001,0.0001,0.0002
gelenkt,8,0.015,0.0006,0.0003,0.0001,0.0003,0.0001,0.0004,0.0004,0.0001,0.0003,0.0001,0.0002
hintergrund,8,0.0002,0.0006,0.0003,0.0002,0.0003,0.0032,0.0004,0.0005,0.0001,0.0002,0.0001,0.0067
kritisch,8,0.0003,0.0006,0.0003,0.0019,0.0003,0.005,0.0004,0.0005,0.0001,0.0001,0.0001,0.0002
lebensform,8,0.0002,0.0006,0.0003,0.0001,0.0003,0.0637,0.0004,0.0004,0.0001,0.0002,0.0001,0.0002
untersuchen,8,0.0002,0.0006,0.0003,0.0001,0.0003,0.0001,0.0004,0.028,0.0001,0.0001,0.0001,0.0002
ziel,8,0.0034,0.0006,0.0003,0.0001,0.0365,0.0001,0.0004,0.0004,0.0001,0.0001,0.0001,0.0002
angemessen,7,0.0002,0.0006,0.0003,0.0001,0.0003,0.0001,0.0209,0.0004,0.0002,0.0003,0.0001,0.0002
klinische,7,0.0002,0.0006,0.0144,0.0001,0.0003,0.0001,0.0004,0.0005,0.0001,0.0001,0.0001,0.0002
rahmen,7,0.0002,0.0006,0.0003,0.0001,0.0003,0.0001,0.0128,0.0004,0.0249,0.0001,0.0001,0.0002
spannungsfeld,7,0.0021,0.0006,0.0003,0.0002,0.0003,0.0001,0.0004,0.0203,0.0002,0.0001,0.0001,0.0002
analyse,6,0.0003,0.0006,0.0124,0.0001,0.0003,0.0001,0.0004,0.0004,0.0001,0.0001,0.0001,0.0002
friedlich,6,0.0002,0.0006,0.0003,0.0001,0.0003,0.0001,0.0004,0.0203,0.0001,0.0003,0.0001,0.0002
gesundheitspsychologie,6,0.0002,0.0006,0.0124,0.0001,0.0003,0.0001,0.0004,0.0004,0.0001,0.0001,0.0001,0.0002
herausforderung,6,0.0002,0.0006,0.0003,0.0001,0.0003,0.0001,0.0181,0.0004,0.0001,0.0001,0.0002,0.0002
konkret,6,0.0003,0.0006,0.0003,0.0001,0.0003,0.0001,0.0185,0.0004,0.0001,0.0001,0.0001,0.0002
position,6,0.0003,0.0006,0.0003,0.0001,0.0003,0.0001,0.0179,0.0004,0.0001,0.0003,0.0001,0.0002
pubertät,6,0.0002,0.0006,0.0003,0.0002,0.0003,0.0001,0.0004,0.0201,0.0002,0.0001,0.0001,0.0002
raum,6,0.0002,0.0006,0.0003,0.0001,0.0003,0.0001,0.0004,0.0004,0.0276,0.0002,0.0001,0.0002
sagen,6,0.0002,0.0264,0.0003,0.0001,0.0003,0.0001,0.0004,0.0004,0.0001,0.0002,0.0001,0.0002
unterschied,6,0.0002,0.0006,0.0003,0.0001,0.0003,0.0001,0.0004,0.0208,0.0001,0.0001,0.0001,0.0002
verbinden,6,0.0002,0.0006,0.0003,0.0001,0.0003,0.0001,0.0007,0.0204,0.0001,0.0001,0.0001,0.0002
eigenständig,5,0.0002,0.0006,0.0003,0.0001,0.0339,0.0001,0.0004,0.0004,0.0001,0.0001,0.0001,0.0002
internet,5,0.0002,0.0006,0.0022,0.0002,0.0003,0.0032,0.0004,0.0004,0.0001,0.0001,0.0001,0.0002
kooperation,5,0.0002,0.0006,0.0003,0.0001,0.0003,0.0001,0.0004,0.0004,0.0268,0.0001,0.0001,0.0002
recherchieren,5,0.0022,0.0006,0.0003,0.0002,0.0003,0.0032,0.0004,0.0004,0.0001,0.0001,0.0001,0.0002
