term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12,Topic_13,Topic_14,Topic_15,Topic_16,Topic_17,Topic_18,Topic_19,Topic_20
empfehlung,8,0.0009,0.0014,0.0018,0.0001,0.0014,0.0032,0.0001,0.0002,0.0017,0.0033,0.0001,0.0003,0.0006,0.0005,0.0004,0.0196,0.0001,0.0004,0.0016,0.0026
faktengestützt,8,0.0009,0.0014,0.0018,0.0001,0.0014,0.0033,0.0001,0.0002,0.0017,0.0039,0.0001,0.0003,0.0006,0.0005,0.0004,0.0145,0.0001,0.0004,0.0016,0.0025
finden,8,0.0009,0.0014,0.0016,0.0001,0.0458,0.0031,0.0001,0.0002,0.0017,0.0035,0.0001,0.0157,0.0007,0.0107,0.0049,0.0002,0.0001,0.0004,0.0015,0.0029
fordern,8,0.0009,0.0014,0.0017,0.0117,0.0014,0.0034,0.0001,0.0002,0.0389,0.0033,0.0001,0.0003,0.0073,0.0005,0.0004,0.0002,0.0001,0.0004,0.0016,0.0027
lage,8,0.0009,0.0014,0.0374,0.0001,0.0015,0.0032,0.0001,0.0002,0.0017,0.0035,0.0066,0.0003,0.0028,0.0159,0.0004,0.0002,0.0002,0.0004,0.0016,0.0026
nachhaltig,8,0.045,0.0014,0.0016,0.0001,0.0014,0.0033,0.0001,0.0002,0.0016,0.0034,0.0001,0.0003,0.0234,0.0005,0.0138,0.0002,0.0001,0.0004,0.0016,0.0026
orientierungsrahme,8,0.0009,0.0014,0.0019,0.0001,0.0014,0.0032,0.0001,0.0002,0.0017,0.0035,0.0001,0.0003,0.0006,0.0005,0.0004,0.0196,0.0001,0.0004,0.0016,0.0027
schwerpunkt,8,0.0009,0.0014,0.0018,0.0001,0.0014,0.0033,0.0001,0.0002,0.0016,0.0035,0.0001,0.0003,0.0006,0.0005,0.0004,0.0196,0.0001,0.0004,0.0016,0.0026
sichtweise,8,0.0009,0.0014,0.0016,0.0001,0.0014,0.0033,0.0001,0.0002,0.0017,0.0035,0.0001,0.0375,0.0006,0.0108,0.0004,0.0002,0.0001,0.0004,0.0016,0.0027
zusätzlich,8,0.0009,0.0014,0.0018,0.0001,0.0014,0.0032,0.0001,0.0002,0.0017,0.0033,0.0001,0.0003,0.0006,0.0005,0.0004,0.0196,0.0001,0.0004,0.0016,0.0026
