term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12,Topic_13,Topic_14,Topic_15
architektur,29,0.0,0.0009,0.0,0.0001,0.0,0.0124,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0
reflektiert,29,0.0,0.0,0.0,0.0001,0.0081,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0004
regional,29,0.0,0.0015,0.0,0.0001,0.0,0.0097,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0001,0.0
strukturierend,29,0.0116,0.0,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0
leistungseinschätzung,29,0.0,0.0,0.0,0.0001,0.0098,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0
gemäß,28,0.0,0.0,0.0,0.0001,0.0,0.0,0.0173,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0
innerhalb,28,0.0105,0.0,0.0,0.0001,0.0,0.0,0.0011,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0
integration,28,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0001,0.0113,0.0,0.0,0.0,0.0,0.003
kulturkreis,28,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0092,0.0,0.0,0.0
nation,27,0.0,0.0004,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0082,0.0,0.0001,0.0
naturwissenschaftlich,27,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0272,0.0,0.0,0.0,0.0,0.0,0.0
wahlmodul,27,0.0106,0.0,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0
grundsatzband,27,0.0,0.0,0.0,0.0001,0.0,0.0,0.0168,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0
definieren,27,0.0,0.0,0.0133,0.0001,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0006,0.0,0.0,0.0,0.0
diversität,27,0.0,0.0,0.0,0.0326,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0
italienisch,26,0.0,0.0,0.0,0.0001,0.0,0.0,0.0162,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0
lebenslang,26,0.0,0.0,0.0,0.0001,0.0,0.0,0.0162,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0
lebensverhältnis,26,0.0,0.0,0.0,0.0316,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0
nationalsozialismus,25,0.0,0.0,0.0,0.0001,0.0,0.0106,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0
