term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12,Topic_13,Topic_14,Topic_15
verbindung,15,0.0002,0.0004,0.0005,0.0338,0.0004,0.0001,0.0004,0.0007,0.0005,0.0001,0.0002,0.0004,0.0002,0.0001,0.0011
veränderung,15,0.0002,0.0004,0.0005,0.0001,0.0004,0.0001,0.0004,0.0072,0.0005,0.0001,0.0001,0.0004,0.0282,0.0001,0.0011
wichtig,15,0.0018,0.0004,0.0005,0.0001,0.0004,0.0001,0.0168,0.0007,0.0005,0.0433,0.0001,0.0004,0.0002,0.0003,0.0012
einfluß,14,0.0033,0.0004,0.0005,0.0001,0.0004,0.0004,0.0316,0.0007,0.0005,0.0001,0.0001,0.0154,0.0002,0.0001,0.0011
empathie,14,0.0002,0.0004,0.0005,0.0001,0.0004,0.0001,0.0004,0.0007,0.0006,0.0001,0.0001,0.0004,0.0002,0.0305,0.0011
erfassen,14,0.0002,0.0004,0.0005,0.0001,0.0004,0.0001,0.0004,0.0007,0.0039,0.0001,0.0001,0.0004,0.0002,0.0298,0.0011
geben,14,0.0002,0.0004,0.0005,0.0312,0.0004,0.0001,0.0004,0.0007,0.0005,0.0001,0.0001,0.0004,0.0043,0.0001,0.0011
medium,14,0.0035,0.0004,0.0394,0.0001,0.0004,0.0001,0.0004,0.0144,0.0005,0.0001,0.0001,0.004,0.0002,0.0001,0.0011
problem,14,0.0021,0.0004,0.0005,0.0001,0.0043,0.0001,0.0004,0.0007,0.0006,0.0005,0.0001,0.0322,0.0003,0.0032,0.0011
sinnestäuschung,14,0.0002,0.0295,0.0047,0.0001,0.0004,0.0001,0.0004,0.0007,0.0006,0.0003,0.0001,0.0004,0.009,0.0005,0.0011
urteil,14,0.0002,0.0004,0.0432,0.0001,0.0044,0.0001,0.0004,0.0007,0.0005,0.0001,0.0001,0.0108,0.0002,0.0001,0.0011
vorurteil,14,0.0002,0.0241,0.0005,0.0001,0.0005,0.0002,0.0004,0.0007,0.0006,0.0018,0.0001,0.0004,0.0123,0.0002,0.0011
