term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12
dar,31,0.0,0.0,0.0306,0.0001,0.0,0.0002,0.0,0.0,0.0,0.0,0.0001,0.0012
stehen,31,0.0,0.0,0.0001,0.0001,0.0142,0.0002,0.0,0.0026,0.0,0.0,0.0001,0.0001
biomoleküle,29,0.001,0.0,0.0001,0.0001,0.0,0.0002,0.0118,0.0,0.0,0.0,0.0001,0.0
osgv,29,0.0,0.0,0.0001,0.0001,0.0,0.0531,0.0,0.0,0.0,0.0001,0.0001,0.0
proximat,29,0.0,0.0,0.0001,0.0001,0.0,0.0161,0.009,0.0,0.0,0.0,0.0024,0.0
fortführung,29,0.0,0.0,0.0001,0.0001,0.0,0.0002,0.0,0.0148,0.0,0.0,0.0001,0.0
strukturierungsvorschlag,29,0.0,0.0,0.0054,0.0001,0.0,0.0002,0.0,0.0123,0.0,0.0,0.0001,0.0
historisch,28,0.0007,0.0,0.0001,0.0001,0.0,0.0014,0.0,0.0,0.0,0.0111,0.0001,0.0
vielzeller,28,0.0,0.0,0.0001,0.0223,0.0,0.0002,0.0,0.0,0.0,0.0,0.0001,0.0
weltbild,28,0.0,0.0,0.0001,0.0114,0.0,0.0002,0.0,0.0,0.0005,0.0,0.0001,0.0014
final,27,0.0,0.0,0.0001,0.0001,0.0,0.0293,0.0033,0.0,0.0,0.0021,0.0001,0.0
anthropologie,26,0.0,0.0,0.0001,0.0184,0.0,0.0002,0.0,0.0,0.0,0.0,0.0032,0.0
beziehung,26,0.0,0.0,0.0001,0.0001,0.0,0.0002,0.0,0.0,0.0,0.0,0.0206,0.0014
gott,26,0.0,0.0,0.0001,0.0198,0.0,0.0002,0.0,0.0,0.0,0.0,0.0001,0.0
igv,25,0.0,0.0,0.0001,0.0001,0.0,0.0461,0.0,0.0,0.0,0.0,0.0001,0.0
entstehen,24,0.0013,0.0,0.0001,0.0001,0.0,0.022,0.0,0.0,0.0,0.0,0.0001,0.0012
evolutionsbiologie,24,0.0,0.0,0.0234,0.0017,0.0,0.0002,0.0,0.0,0.0,0.0,0.0059,0.0
fell,24,0.0,0.0,0.0001,0.0001,0.0,0.0492,0.0,0.0,0.0,0.0,0.0001,0.0
freiheit,24,0.0,0.0,0.0001,0.0096,0.0,0.0002,0.0,0.0,0.0,0.0,0.0126,0.0
