term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12,Topic_13,Topic_14,Topic_15,Topic_16,Topic_17,Topic_18,Topic_19,Topic_20
wert,44,0.0152,0.0,0.0001,0.0,0.0001,0.0,0.0,0.0001,0.0,0.0,0.0,0.0013,0.0102,0.0001,0.0,0.0,0.0001,0.0041,0.0001,0.0001
aufgabe,43,0.0,0.0,0.0001,0.0041,0.0001,0.0001,0.0,0.0001,0.0,0.0118,0.0,0.0003,0.0001,0.0001,0.0,0.0,0.0001,0.0,0.0001,0.0001
fragestellung,43,0.0,0.0019,0.0001,0.0,0.0001,0.0,0.0,0.0001,0.0,0.0,0.0,0.0017,0.0223,0.0001,0.0,0.0048,0.0001,0.0,0.0001,0.0001
friedlich,43,0.0,0.0,0.0001,0.0023,0.0001,0.0,0.0041,0.0001,0.0,0.0,0.0,0.0022,0.0001,0.0001,0.0,0.0,0.0001,0.0126,0.0001,0.0001
selektion,43,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0,0.0001,0.0243,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0001,0.0,0.0001,0.0001
raum,42,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0,0.0001,0.0,0.0,0.0,0.0036,0.0001,0.0001,0.0,0.0039,0.0152,0.0,0.0001,0.0001
kausal,41,0.006,0.0027,0.0001,0.0,0.0001,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0001,0.0243,0.0001,0.0001
modern,41,0.0,0.0,0.0001,0.0084,0.0001,0.0,0.0,0.0001,0.0,0.0,0.0,0.0015,0.0001,0.0001,0.0,0.0,0.0001,0.0,0.0001,0.0001
beziehen,39,0.005,0.0,0.0001,0.0,0.0001,0.0,0.0,0.0001,0.0,0.001,0.0,0.0023,0.0001,0.0001,0.0,0.0,0.0001,0.0131,0.0001,0.0001
einzeln,39,0.0,0.0,0.0001,0.0018,0.0001,0.0,0.0,0.0001,0.0,0.0,0.0,0.0014,0.0001,0.0001,0.0091,0.0,0.0001,0.0,0.0001,0.0001
einfluss,38,0.0,0.0,0.0001,0.0012,0.0001,0.0,0.0,0.0001,0.0016,0.0046,0.0199,0.0,0.0001,0.0001,0.0,0.0,0.0001,0.0,0.0001,0.0001
konzept,38,0.0,0.0,0.0001,0.0044,0.0001,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0001,0.0045,0.0079,0.0,0.0001,0.0,0.0001,0.0001
