term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12,Topic_13,Topic_14,Topic_15,Topic_16,Topic_17,Topic_18,Topic_19,Topic_20
bestimmung,18,0.0002,0.0011,0.0019,0.0001,0.0001,0.0023,0.0153,0.0001,0.0008,0.0023,0.0001,0.0006,0.0004,0.0002,0.0004,0.0009,0.0103,0.0001,0.0095,0.0002
evolution,18,0.0001,0.0011,0.0016,0.0001,0.0001,0.0023,0.003,0.0001,0.0008,0.0023,0.0301,0.0006,0.0004,0.0002,0.0004,0.0009,0.0001,0.007,0.0003,0.0002
themenfelder,18,0.0001,0.0011,0.0016,0.0001,0.0001,0.0023,0.0023,0.0277,0.0008,0.0023,0.0001,0.0007,0.0004,0.0002,0.0004,0.0009,0.0001,0.0001,0.0003,0.0002
begriff,17,0.0076,0.0012,0.0016,0.0001,0.0008,0.0023,0.0001,0.0107,0.0008,0.0023,0.0001,0.0006,0.0004,0.0002,0.0004,0.0009,0.0117,0.0015,0.0003,0.0003
einführung,17,0.0001,0.0011,0.0016,0.0001,0.0001,0.0023,0.007,0.0001,0.025,0.0023,0.0001,0.0006,0.0004,0.0002,0.0004,0.001,0.0192,0.0005,0.0003,0.0002
modern,17,0.0065,0.0011,0.0016,0.0001,0.0001,0.0023,0.0022,0.0034,0.0008,0.0023,0.0001,0.0006,0.0004,0.0002,0.0366,0.001,0.0001,0.0001,0.0003,0.0046
sozial,17,0.0001,0.0011,0.0017,0.0001,0.0011,0.0024,0.0003,0.0001,0.0008,0.0023,0.0001,0.0006,0.0004,0.0006,0.0004,0.0009,0.0001,0.0122,0.0043,0.023
stellen,17,0.0017,0.0011,0.0016,0.0001,0.0001,0.0023,0.01,0.0001,0.0008,0.0024,0.0001,0.0149,0.0004,0.0026,0.0004,0.0009,0.0001,0.0055,0.0003,0.0002
erfahrung,16,0.0068,0.0011,0.0016,0.0018,0.0015,0.0023,0.0001,0.0002,0.0012,0.0023,0.0001,0.017,0.0404,0.0022,0.0004,0.0009,0.0001,0.0001,0.0003,0.0002
inhaltlich,16,0.0001,0.0011,0.0016,0.0085,0.0001,0.0023,0.0019,0.0001,0.0008,0.0023,0.0001,0.0006,0.0004,0.0209,0.0004,0.0009,0.0001,0.0001,0.0009,0.0002
leistungskurs,16,0.0197,0.0011,0.0016,0.0001,0.0001,0.0024,0.0001,0.0014,0.0009,0.0023,0.0001,0.0006,0.0004,0.0073,0.0004,0.0009,0.0003,0.0001,0.0003,0.0004
rev,16,0.0001,0.0011,0.0016,0.0001,0.0001,0.0023,0.0001,0.0001,0.0008,0.0023,0.0565,0.0006,0.0004,0.0002,0.0004,0.0009,0.0001,0.0001,0.0003,0.0002
utopie,16,0.0001,0.0011,0.0016,0.0001,0.0003,0.0023,0.0001,0.0001,0.0008,0.0023,0.0001,0.0006,0.0004,0.0004,0.0004,0.0009,0.0001,0.0001,0.0003,0.0353
wert,16,0.0014,0.0011,0.0016,0.0001,0.004,0.0023,0.0001,0.0121,0.0008,0.0023,0.0001,0.0006,0.0004,0.0049,0.0004,0.001,0.0004,0.0001,0.0003,0.0032
arbeit,15,0.0026,0.0012,0.0016,0.0001,0.0001,0.0023,0.0025,0.0001,0.0008,0.0023,0.0142,0.0006,0.0004,0.0002,0.0004,0.0009,0.0139,0.0001,0.0003,0.0002
sprache,15,0.0001,0.0011,0.0016,0.0001,0.0029,0.0023,0.0071,0.0004,0.0008,0.0023,0.0001,0.0088,0.0177,0.0002,0.0004,0.0009,0.0033,0.0014,0.0003,0.0002
zusätzlich,15,0.0187,0.0011,0.0016,0.0001,0.0001,0.0024,0.0001,0.0001,0.0009,0.0023,0.0001,0.0006,0.0004,0.0091,0.0004,0.0013,0.0002,0.0001,0.0003,0.0002
behandelt,14,0.0001,0.0011,0.0016,0.0001,0.0001,0.0023,0.0086,0.0001,0.0008,0.0023,0.0001,0.0006,0.0004,0.0002,0.0004,0.0009,0.0001,0.0001,0.0189,0.0002
interpretieren,14,0.0001,0.0011,0.0016,0.0001,0.0001,0.0023,0.0001,0.0001,0.0008,0.0023,0.0001,0.0006,0.0004,0.0058,0.0004,0.0009,0.0001,0.0061,0.0293,0.0002
kulturwesen,14,0.0058,0.0011,0.064,0.0001,0.0001,0.0023,0.0055,0.0001,0.0008,0.0023,0.0001,0.0006,0.0004,0.0002,0.0108,0.0009,0.0001,0.0001,0.0003,0.0036
methode,14,0.0001,0.0011,0.0016,0.0001,0.0012,0.0023,0.0001,0.0001,0.0008,0.0023,0.0001,0.0006,0.0004,0.0033,0.0004,0.1153,0.0001,0.0044,0.0003,0.0005
modell,14,0.0001,0.0011,0.0016,0.0127,0.0016,0.0023,0.0033,0.0029,0.0008,0.0024,0.0001,0.0006,0.0004,0.0002,0.0004,0.0009,0.0001,0.0001,0.0003,0.0002
moralisch,14,0.0001,0.0011,0.0016,0.0036,0.0001,0.0023,0.0025,0.0001,0.0008,0.0023,0.0001,0.0006,0.0004,0.0002,0.0004,0.0009,0.0001,0.0001,0.0307,0.0145
religiös,14,0.0018,0.0011,0.0016,0.0001,0.0002,0.0023,0.0001,0.0001,0.0008,0.0023,0.0001,0.0974,0.0004,0.0061,0.0008,0.0009,0.0001,0.0001,0.0003,0.0005
schwerpunkt,14,0.0001,0.0011,0.0016,0.0001,0.0027,0.0023,0.0001,0.0106,0.0008,0.0023,0.0001,0.0006,0.0004,0.0002,0.0065,0.0009,0.0001,0.0011,0.0003,0.0002
themenfeld,14,0.0001,0.0011,0.0016,0.0001,0.001,0.0023,0.0001,0.0165,0.0008,0.0023,0.0001,0.0008,0.0004,0.0002,0.0004,0.0009,0.0001,0.0001,0.0003,0.0002
verknüpfung,14,0.0001,0.0011,0.0016,0.0001,0.0004,0.0023,0.0001,0.0001,0.0008,0.0024,0.0001,0.0006,0.0004,0.0002,0.0004,0.0009,0.0234,0.0001,0.0003,0.0002
vernunft,14,0.0001,0.0011,0.0016,0.0018,0.0003,0.0024,0.001,0.0013,0.0008,0.0023,0.0001,0.0252,0.0004,0.0002,0.0004,0.0134,0.0001,0.0001,0.0003,0.0186
ästhetik,14,0.0037,0.0011,0.0016,0.0001,0.0001,0.0023,0.0036,0.0001,0.0008,0.0023,0.0001,0.0006,0.0183,0.0002,0.0004,0.0009,0.0131,0.0003,0.0003,0.0002
angewandte,13,0.0001,0.0011,0.0016,0.0001,0.0001,0.0023,0.0001,0.0108,0.0008,0.0023,0.0001,0.0006,0.0036,0.0003,0.0004,0.0009,0.0001,0.0044,0.0003,0.0002
form,13,0.0001,0.0011,0.0016,0.0001,0.0001,0.0023,0.0001,0.0001,0.0617,0.0023,0.0001,0.0006,0.0285,0.0047,0.0004,0.0009,0.0002,0.0037,0.0003,0.0002
