term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12
arbeitspartnerinn,5,0.0001,0.0005,0.0002,0.0001,0.002,0.0003,0.0001,0.0007,0.0011,0.0001,0.0196,0.0003
beitragen,5,0.0001,0.0006,0.0002,0.0128,0.002,0.0003,0.0001,0.0007,0.0011,0.0001,0.0005,0.0003
berühmtheit,5,0.0001,0.0005,0.0002,0.0001,0.002,0.0003,0.0001,0.0007,0.0011,0.0001,0.0196,0.0003
bleiben,5,0.0001,0.0005,0.0002,0.0001,0.0019,0.0003,0.0001,0.0168,0.0182,0.0001,0.0005,0.0003
erwachsene,5,0.0001,0.0005,0.0002,0.0001,0.002,0.0003,0.0001,0.0007,0.0011,0.0001,0.0196,0.0003
gewinn,5,0.0018,0.0005,0.0002,0.0006,0.0176,0.0003,0.0001,0.0007,0.0011,0.0001,0.0005,0.0004
hilfsbereitschaft,5,0.0001,0.0005,0.0002,0.0001,0.002,0.0003,0.0001,0.0007,0.0011,0.0001,0.0196,0.0003
identifikation,5,0.0001,0.0005,0.0002,0.0001,0.002,0.0003,0.0001,0.0007,0.0011,0.0001,0.0196,0.0003
langfristig,5,0.0007,0.0005,0.0055,0.0001,0.0176,0.0003,0.0001,0.0007,0.0011,0.0001,0.0005,0.0003
lehrkraft,5,0.0001,0.0005,0.0002,0.0001,0.002,0.0003,0.0001,0.0007,0.0011,0.0001,0.0196,0.0003
neid,5,0.0001,0.0005,0.0002,0.0001,0.002,0.0003,0.0001,0.0007,0.0011,0.0001,0.0196,0.0003
peergroup,5,0.0001,0.0005,0.0002,0.0001,0.002,0.0003,0.0001,0.0007,0.0011,0.0001,0.0196,0.0003
reichtum,5,0.0001,0.0005,0.0002,0.0001,0.002,0.0003,0.0001,0.0007,0.0011,0.0001,0.0196,0.0003
sportkameradin,5,0.0001,0.0005,0.0002,0.0001,0.002,0.0003,0.0001,0.0007,0.0011,0.0001,0.0196,0.0003
vertrauen,5,0.0001,0.0005,0.0002,0.0001,0.002,0.0003,0.0001,0.0007,0.0011,0.0001,0.0196,0.0003
virtuell,5,0.0001,0.0005,0.0002,0.0001,0.002,0.0003,0.0001,0.0007,0.0011,0.0001,0.0196,0.0003
zivilcourage,5,0.0001,0.0005,0.0002,0.0001,0.002,0.0003,0.0001,0.0007,0.0011,0.0001,0.0196,0.0003
