term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12,Topic_13,Topic_14,Topic_15
globalisiert,7,0.0004,0.0017,0.0006,0.0272,0.0024,0.0002,0.0001,0.0003,0.0005,0.0014,0.0006,0.0006,0.0007,0.0004,0.0003
internationalisierung,7,0.024,0.0018,0.0002,0.0002,0.0023,0.0002,0.0001,0.0003,0.0004,0.0014,0.0252,0.0002,0.0008,0.0004,0.0003
land,7,0.0004,0.0018,0.0002,0.0002,0.0023,0.0002,0.0001,0.0003,0.0004,0.0014,0.0006,0.0037,0.0007,0.0004,0.0289
rollenspiel,7,0.0003,0.0017,0.0002,0.0002,0.0023,0.0002,0.0001,0.0003,0.0004,0.0307,0.0006,0.0061,0.0217,0.0004,0.0003
text,7,0.0003,0.0018,0.0002,0.0002,0.0023,0.0002,0.0001,0.0003,0.0095,0.0014,0.0006,0.0031,0.017,0.0004,0.0003
vokabular,7,0.0003,0.0018,0.0002,0.0227,0.0023,0.0002,0.0001,0.0003,0.0004,0.0014,0.0006,0.0002,0.0007,0.0004,0.0003
vorstellung,7,0.0003,0.0042,0.0002,0.0002,0.0027,0.0002,0.0001,0.0003,0.0004,0.0014,0.0006,0.0144,0.0007,0.0004,0.0003
wahrnehmen,7,0.0003,0.0018,0.0002,0.0002,0.0024,0.0002,0.0001,0.0003,0.0004,0.0381,0.0006,0.0046,0.0007,0.0042,0.0003
wichtig,7,0.0003,0.0018,0.0002,0.0002,0.0023,0.0002,0.0001,0.0003,0.0004,0.0014,0.0006,0.0167,0.0007,0.0004,0.0003
wirtschaft,7,0.0003,0.0018,0.0002,0.0002,0.0023,0.0002,0.0001,0.0003,0.0004,0.0015,0.0375,0.0002,0.0156,0.0004,0.0205
abb,6,0.0004,0.0017,0.0002,0.0002,0.0024,0.0002,0.0001,0.0003,0.0004,0.0014,0.0006,0.0002,0.0007,0.0004,0.0289
beitragen,6,0.0269,0.0018,0.0002,0.0002,0.0024,0.0003,0.0001,0.0003,0.0004,0.0014,0.0006,0.0002,0.0007,0.0004,0.0003
bezüglich,6,0.0003,0.0018,0.0002,0.0002,0.0023,0.0002,0.0001,0.0003,0.0004,0.0014,0.0252,0.0061,0.0007,0.0004,0.0003
bilingualer,6,0.0004,0.0018,0.0002,0.0002,0.0023,0.0002,0.0001,0.0003,0.0004,0.0014,0.0006,0.0002,0.0007,0.0004,0.0289
deutungsmustern,6,0.0003,0.0017,0.0002,0.0002,0.0024,0.0002,0.0001,0.0003,0.0004,0.0014,0.0006,0.0002,0.0007,0.0004,0.0289
einsetzen,6,0.0004,0.0019,0.0002,0.0002,0.0023,0.0002,0.0001,0.0003,0.0285,0.0014,0.0006,0.0003,0.0007,0.0004,0.0003
ethisch,6,0.0004,0.0493,0.0002,0.0002,0.0226,0.0002,0.0001,0.0003,0.0067,0.0015,0.0006,0.0005,0.0008,0.0004,0.0003
fachsprachlich,6,0.0004,0.0018,0.0002,0.0002,0.0023,0.0002,0.0001,0.0003,0.0004,0.0014,0.0006,0.0002,0.0007,0.0004,0.0289
grenze,6,0.0004,0.0447,0.0002,0.0003,0.0023,0.0002,0.0001,0.0003,0.0004,0.0036,0.0006,0.0002,0.0155,0.0131,0.0003
konfrontieren,6,0.0004,0.0017,0.0002,0.0002,0.0024,0.0002,0.0001,0.0003,0.0004,0.0014,0.0006,0.0002,0.0007,0.0004,0.0289
