term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12,Topic_13,Topic_14,Topic_15,Topic_16,Topic_17,Topic_18,Topic_19,Topic_20
konflikt,20,0.0,0.0031,0.0172,0.0003,0.0001,0.0002,0.0021,0.0107,0.0001,0.0002,0.0003,0.0003,0.001,0.0002,0.0001,0.0001,0.0232,0.0003,0.0001,0.0001
liebe,20,0.0001,0.0002,0.0002,0.0003,0.0046,0.0002,0.0021,0.0003,0.0001,0.0002,0.0003,0.0003,0.001,0.0002,0.0001,0.0001,0.0001,0.0003,0.0413,0.0001
religion,20,0.0001,0.0219,0.0002,0.0091,0.0131,0.0002,0.0021,0.0003,0.0001,0.0002,0.0003,0.0003,0.001,0.0002,0.0001,0.0001,0.0028,0.0003,0.004,0.0001
stellen,20,0.0035,0.0058,0.0002,0.0003,0.0183,0.0002,0.0021,0.0003,0.0001,0.0002,0.0003,0.0003,0.001,0.0002,0.0001,0.0001,0.0001,0.0094,0.0001,0.0106
beschreibung,19,0.0,0.0002,0.0003,0.0003,0.0029,0.0002,0.0021,0.0096,0.0049,0.0002,0.0003,0.0116,0.0009,0.0002,0.0001,0.0001,0.0001,0.0003,0.0206,0.0001
beziehen,19,0.0015,0.0137,0.0003,0.0003,0.0001,0.0002,0.0021,0.0003,0.0001,0.0002,0.0003,0.0003,0.001,0.0002,0.0001,0.0175,0.0001,0.0003,0.0001,0.0001
lernen,19,0.0,0.0002,0.0002,0.0067,0.0002,0.0002,0.0021,0.0003,0.0001,0.0204,0.0718,0.0004,0.0009,0.0002,0.0001,0.0001,0.0001,0.0003,0.0001,0.0057
nutzen,19,0.0,0.0002,0.0002,0.0003,0.0001,0.0002,0.0021,0.0003,0.0001,0.0035,0.0281,0.0005,0.0009,0.0033,0.0001,0.013,0.0001,0.0003,0.0001,0.0086
position,19,0.0069,0.0184,0.0002,0.0003,0.0001,0.0002,0.0021,0.0003,0.0001,0.0002,0.0004,0.0003,0.001,0.0002,0.0001,0.0001,0.0001,0.0003,0.01,0.0059
verantwortlich,19,0.0153,0.0002,0.0002,0.0003,0.0062,0.0002,0.0021,0.0003,0.0001,0.0002,0.0003,0.0003,0.0009,0.0002,0.0001,0.0001,0.0001,0.0003,0.0039,0.0001
verdeutlichen,19,0.0,0.0002,0.0003,0.0003,0.0001,0.0002,0.0021,0.0003,0.0046,0.0002,0.0003,0.0116,0.0009,0.0002,0.0001,0.0001,0.0001,0.0055,0.0253,0.0001
weise,19,0.0,0.0038,0.0098,0.0003,0.0001,0.0002,0.0021,0.0003,0.0001,0.0104,0.0003,0.0003,0.0009,0.0002,0.0182,0.0036,0.0001,0.0003,0.0001,0.0002
auftauchend,18,0.0,0.0002,0.0002,0.0003,0.0001,0.0002,0.0021,0.0003,0.0311,0.0002,0.0003,0.0003,0.0009,0.0002,0.0002,0.0001,0.0001,0.0003,0.0001,0.0001
bildhaft,18,0.0,0.0002,0.0003,0.0003,0.0001,0.0002,0.0021,0.0003,0.0001,0.0002,0.0003,0.0003,0.001,0.0002,0.0001,0.0001,0.0001,0.0003,0.0333,0.0001
glück,18,0.0,0.0096,0.0002,0.0003,0.0001,0.0173,0.0021,0.0003,0.0035,0.0003,0.0003,0.0003,0.118,0.0025,0.0001,0.0024,0.0001,0.0003,0.0001,0.0001
häufigkeit,18,0.0,0.0002,0.0003,0.0003,0.0001,0.0002,0.0022,0.0003,0.031,0.0002,0.0003,0.0003,0.001,0.0002,0.0001,0.0001,0.0001,0.0004,0.0001,0.0001
intensität,18,0.0,0.0002,0.0003,0.0003,0.0001,0.0002,0.0022,0.0003,0.031,0.0002,0.0003,0.0003,0.0009,0.0002,0.0001,0.0001,0.0001,0.0004,0.0001,0.0001
kulturell,18,0.0001,0.0002,0.0002,0.0003,0.0001,0.0002,0.0021,0.0003,0.0002,0.0002,0.0003,0.0003,0.0009,0.0325,0.0001,0.0067,0.007,0.0003,0.0001,0.0003
male,18,0.0,0.0002,0.0002,0.0003,0.0001,0.0002,0.0022,0.0003,0.0311,0.0002,0.0003,0.0003,0.001,0.0002,0.0001,0.0001,0.0001,0.0003,0.0001,0.0001
medium,18,0.0001,0.0135,0.0002,0.0003,0.0001,0.0002,0.0021,0.0003,0.0001,0.0002,0.0281,0.0003,0.0009,0.0002,0.0001,0.0001,0.0164,0.0003,0.0001,0.0001
qualität,18,0.0,0.0002,0.0003,0.0003,0.0001,0.0002,0.0022,0.0003,0.031,0.0002,0.0003,0.0003,0.0009,0.0002,0.0001,0.0001,0.0001,0.0004,0.0001,0.0001
sachverhaltegedanken,18,0.0,0.0002,0.0002,0.0003,0.0001,0.0002,0.0021,0.0003,0.0001,0.0002,0.0004,0.0003,0.0009,0.0275,0.0001,0.0001,0.0001,0.0003,0.0163,0.0001
sammel,18,0.0,0.0002,0.0002,0.0003,0.0001,0.0002,0.0022,0.0003,0.0311,0.0002,0.0003,0.0003,0.0009,0.0002,0.0001,0.0001,0.0001,0.0003,0.0001,0.0001
selbstwahrnehmung,18,0.0143,0.0002,0.0002,0.0003,0.0001,0.0002,0.0021,0.0003,0.0001,0.0002,0.0003,0.0003,0.001,0.0002,0.0001,0.0015,0.0035,0.0003,0.0001,0.0042
situationsabhängigkeit,18,0.0,0.0002,0.0003,0.0003,0.0001,0.0002,0.0023,0.0003,0.031,0.0002,0.0003,0.0003,0.001,0.0002,0.0001,0.0001,0.0001,0.0004,0.0001,0.0001
umwelt,18,0.0,0.0202,0.0002,0.0003,0.0024,0.0002,0.0021,0.0003,0.0001,0.0002,0.0003,0.0003,0.001,0.0002,0.0001,0.0033,0.0087,0.0003,0.0051,0.0001
unangenehm,18,0.0,0.0002,0.0003,0.0003,0.0001,0.0002,0.0022,0.0003,0.0234,0.0002,0.0003,0.0003,0.001,0.0002,0.0001,0.0001,0.0032,0.0004,0.0046,0.0001
denkanstöße,17,0.0015,0.0002,0.0002,0.0003,0.0001,0.0002,0.0021,0.0003,0.0001,0.0002,0.0003,0.0003,0.001,0.0309,0.0001,0.0001,0.0032,0.0165,0.0001,0.0001
erfahrung,17,0.0001,0.0032,0.0002,0.0003,0.0022,0.0002,0.0021,0.0003,0.0001,0.0002,0.0003,0.0003,0.0009,0.0002,0.0001,0.0221,0.0001,0.0003,0.0001,0.0001
gesellschaft,17,0.0,0.0033,0.0002,0.0003,0.0001,0.0002,0.0021,0.0003,0.0001,0.0002,0.0183,0.0003,0.001,0.0002,0.0001,0.0182,0.0001,0.0003,0.0001,0.0001
klassengemeinschaft,17,0.0,0.0002,0.0002,0.0003,0.0001,0.0003,0.0021,0.0003,0.0001,0.0268,0.0003,0.0003,0.0009,0.0002,0.0001,0.0001,0.0141,0.0003,0.0001,0.0001
natur,17,0.0,0.0201,0.0002,0.0003,0.0022,0.0002,0.0021,0.0004,0.0001,0.0002,0.0003,0.0003,0.001,0.0032,0.0001,0.0001,0.0091,0.0106,0.0001,0.0001
reflexion,17,0.0,0.0002,0.0002,0.0003,0.0001,0.0002,0.0021,0.0003,0.0001,0.0196,0.0003,0.0003,0.0011,0.0015,0.0175,0.0001,0.0001,0.0083,0.0001,0.0003
sehen,17,0.0149,0.0002,0.0002,0.0003,0.0001,0.0002,0.0021,0.0003,0.0001,0.0002,0.0003,0.0104,0.0009,0.0002,0.0001,0.0001,0.0017,0.0003,0.0001,0.0031
sinn,17,0.0,0.0211,0.0002,0.0003,0.0063,0.0212,0.0021,0.0003,0.0001,0.0002,0.0131,0.0003,0.0009,0.0002,0.0001,0.0001,0.0002,0.0003,0.0001,0.0001
treten,17,0.0,0.0002,0.0002,0.0003,0.0001,0.0256,0.0021,0.0003,0.0001,0.0002,0.0003,0.0003,0.0009,0.0354,0.0001,0.0001,0.0001,0.0018,0.0001,0.0001
verstehen,17,0.0,0.0002,0.0041,0.0003,0.0148,0.0002,0.0021,0.0003,0.006,0.0002,0.0003,0.0003,0.0009,0.0002,0.0001,0.0033,0.0001,0.0003,0.0039,0.005
verwenden,17,0.0,0.0002,0.0003,0.0003,0.0001,0.0002,0.0021,0.0003,0.0001,0.0002,0.0003,0.0003,0.0009,0.0002,0.0001,0.0014,0.0001,0.0003,0.0295,0.0001
angenehm,16,0.0,0.0002,0.0003,0.0003,0.0001,0.0002,0.0022,0.0003,0.0234,0.0002,0.0003,0.0003,0.001,0.0002,0.0001,0.0001,0.0001,0.0004,0.0046,0.0001
