term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12,Topic_13,Topic_14,Topic_15,Topic_16,Topic_17,Topic_18,Topic_19,Topic_20
menschlich,51,0.0136,0.0,0.0002,0.0001,0.0,0.0002,0.0,0.0,0.0048,0.031,0.0001,0.0011,0.0,0.0001,0.0001,0.0001,0.0,0.0,0.0002,0.0
organe,51,0.0122,0.0,0.0002,0.0001,0.0,0.0002,0.0,0.0191,0.0,0.0001,0.0001,0.0,0.0,0.0001,0.0001,0.0001,0.0,0.0002,0.0002,0.0
primat,50,0.0,0.0,0.0002,0.0001,0.0022,0.0002,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0097,0.0001,0.0001,0.0001,0.016,0.0,0.0002,0.0
zeitraum,49,0.0,0.0162,0.0002,0.0001,0.0,0.0002,0.0,0.0,0.0,0.0001,0.0001,0.005,0.0,0.0001,0.0001,0.0001,0.0,0.0,0.0002,0.0
faktor,49,0.0,0.0047,0.0082,0.0162,0.0,0.0002,0.0,0.0,0.0002,0.0001,0.0001,0.001,0.0013,0.0001,0.0187,0.0001,0.0,0.0017,0.0002,0.0
wechselwirkung,48,0.0,0.0,0.0002,0.0001,0.0,0.0002,0.0,0.0,0.0034,0.0001,0.0001,0.0,0.0,0.0001,0.0001,0.0001,0.0,0.0,0.0002,0.0185
pflanze,48,0.0098,0.0,0.0002,0.0001,0.0,0.0002,0.0044,0.0,0.0,0.0001,0.0001,0.004,0.0033,0.0001,0.0001,0.0001,0.0,0.0,0.0002,0.0
hinsichtlich,47,0.0137,0.0,0.0002,0.0001,0.0054,0.0002,0.0,0.0008,0.0,0.0001,0.0001,0.0,0.0034,0.0001,0.0043,0.0001,0.0,0.0,0.0002,0.0
lebewe,44,0.0,0.0,0.0002,0.0001,0.0119,0.0002,0.0032,0.0,0.0,0.0001,0.0001,0.0027,0.0045,0.0001,0.0001,0.0001,0.0,0.0,0.0002,0.0
verständnis,43,0.0,0.0,0.0002,0.0001,0.0,0.0002,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0001,0.0001,0.0034,0.0,0.0,0.0002,0.021
