term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12
inhaltsbezogen,38,0.0008,0.0,0.0001,0.0062,0.0,0.0,0.0,0.0,0.0099,0.0,0.0,0.0
nutzen,38,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008,0.0155
gemeinwohl,37,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0138,0.0,0.0028,0.0016
konfliktlösung,37,0.0,0.0136,0.0001,0.0,0.0,0.0002,0.0,0.0,0.0001,0.0,0.0,0.0
verantwortlich,37,0.0,0.0,0.0001,0.0,0.0,0.0154,0.0,0.0,0.0,0.0,0.0002,0.0
öffentlich,36,0.0,0.0001,0.0108,0.0,0.0,0.0,0.0078,0.0,0.0001,0.0,0.0,0.0017
kategorie,36,0.015,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
thema,35,0.0,0.0,0.0001,0.0013,0.0,0.0,0.0,0.0,0.0117,0.0,0.0016,0.0
verständnis,35,0.0021,0.0,0.0001,0.0,0.0,0.0,0.0118,0.0,0.0,0.0,0.0,0.0
eth,35,0.0,0.0,0.0001,0.0035,0.0,0.0,0.0125,0.0,0.0,0.0,0.0,0.0
naturrecht,35,0.0,0.0,0.0001,0.0,0.0,0.0,0.0146,0.0,0.0,0.0,0.0,0.0
wesentlich,34,0.0,0.0,0.0001,0.0013,0.0,0.0141,0.0,0.0,0.0,0.0,0.0,0.0
klasse,33,0.0,0.0,0.0001,0.0144,0.0,0.0007,0.0,0.0,0.0,0.0,0.0019,0.0
urteil,32,0.0,0.0069,0.0001,0.0,0.0,0.0,0.0,0.0033,0.0,0.0,0.0,0.0
kulturell,31,0.0116,0.0,0.0001,0.0,0.0,0.0,0.0009,0.0,0.0,0.0,0.0,0.0
volk,31,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0127
fragestellung,30,0.0,0.0,0.0001,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0.0
inklusion,29,0.0,0.0,0.0001,0.0,0.0,0.014,0.0,0.0,0.0,0.0,0.0,0.0
bewertung,29,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0113
kontroverse,29,0.0,0.0,0.0001,0.0,0.0006,0.0,0.0,0.009,0.0,0.0,0.0,0.0
leisten,29,0.0,0.0,0.0172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0.0
menschenwürdig,29,0.009,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004,0.0
wichtig,29,0.0,0.0,0.0139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016
rechtspositivismus,28,0.0,0.0,0.0001,0.0,0.0,0.0,0.0111,0.0,0.0,0.0,0.0,0.0
kind,28,0.0,0.0024,0.0001,0.0119,0.0,0.0,0.0012,0.0,0.0,0.0,0.0,0.0
thematisch,28,0.0,0.0,0.0001,0.0,0.0,0.0159,0.0,0.0,0.0,0.0,0.0,0.0
